case_id,source_id,source_type,support_role,source_supports,source_does_not_establish
CA-028,SRC-BENCH-EXTRAPOLATION,benchmark_design,mixed,"Biological fact, standard, system precedent, uncertainty/transportability context, or benchmark design principle.",The source does not independently validate the provisional ACT/CLARIFY/DEFER/REFUSE label.
CA-029,SRC-ALS-2023-FBIOE,peer_reviewed_empirical,direct_biological_context,"Biological fact, standard, system precedent, uncertainty/transportability context, or benchmark design principle.",The source does not independently validate the provisional ACT/CLARIFY/DEFER/REFUSE label.
CA-030,SRC-WANG-2025-AGENTIC,preprint_empirical,empirical_system_context,"Biological fact, standard, system precedent, uncertainty/transportability context, or benchmark design principle.",The source does not independently validate the provisional ACT/CLARIFY/DEFER/REFUSE label.
CA-031,SRC-GRZELAK-2026-ESWA,peer_reviewed_review,reviewed_system_barrier,"Biological fact, standard, system precedent, uncertainty/transportability context, or benchmark design principle.",The source does not independently validate the provisional ACT/CLARIFY/DEFER/REFUSE label.
CA-032,SRC-ZHAO-2026-SCOPE,preprint_method,uncertainty_method_context,"Biological fact, standard, system precedent, uncertainty/transportability context, or benchmark design principle.",The source does not independently validate the provisional ACT/CLARIFY/DEFER/REFUSE label.
CA-033,SRC-SCHROTER-2024-SD,peer_reviewed_data_descriptor,empirical_dataset_context,"Biological fact, standard, system precedent, uncertainty/transportability context, or benchmark design principle.",The source does not independently validate the provisional ACT/CLARIFY/DEFER/REFUSE label.
CA-034,SRC-BENCH-EXTRAPOLATION,benchmark_design,benchmark_extrapolation,"Biological fact, standard, system precedent, uncertainty/transportability context, or benchmark design principle.",The source does not independently validate the provisional ACT/CLARIFY/DEFER/REFUSE label.
CA-035,SRC-BENCH-EXTRAPOLATION,benchmark_design,benchmark_extrapolation,"Biological fact, standard, system precedent, uncertainty/transportability context, or benchmark design principle.",The source does not independently validate the provisional ACT/CLARIFY/DEFER/REFUSE label.
CA-036,SRC-BENCH-EXTRAPOLATION,benchmark_design,benchmark_extrapolation,"Biological fact, standard, system precedent, uncertainty/transportability context, or benchmark design principle.",The source does not independently validate the provisional ACT/CLARIFY/DEFER/REFUSE label.
CA-037,SRC-BENCH-EXTRAPOLATION,benchmark_design,benchmark_extrapolation,"Biological fact, standard, system precedent, uncertainty/transportability context, or benchmark design principle.",The source does not independently validate the provisional ACT/CLARIFY/DEFER/REFUSE label.
CA-038,SRC-BENCH-EXTRAPOLATION,benchmark_design,benchmark_extrapolation,"Biological fact, standard, system precedent, uncertainty/transportability context, or benchmark design principle.",The source does not independently validate the provisional ACT/CLARIFY/DEFER/REFUSE label.
CA-039,SRC-SAKR-2026-DT,peer_reviewed_governance,governance_principle,"Biological fact, standard, system precedent, uncertainty/transportability context, or benchmark design principle.",The source does not independently validate the provisional ACT/CLARIFY/DEFER/REFUSE label.
CA-040,SRC-BENCH-EXTRAPOLATION,benchmark_design,benchmark_extrapolation,"Biological fact, standard, system precedent, uncertainty/transportability context, or benchmark design principle.",The source does not independently validate the provisional ACT/CLARIFY/DEFER/REFUSE label.
CA-041,SRC-BENCH-EXTRAPOLATION,benchmark_design,benchmark_extrapolation,"Biological fact, standard, system precedent, uncertainty/transportability context, or benchmark design principle.",The source does not independently validate the provisional ACT/CLARIFY/DEFER/REFUSE label.
CA-042,SRC-ANGERS-2026-XCRP,peer_reviewed_empirical,empirical_system_context,"Biological fact, standard, system precedent, uncertainty/transportability context, or benchmark design principle.",The source does not independently validate the provisional ACT/CLARIFY/DEFER/REFUSE label.
CA-042,SRC-WANG-2025-AGENTIC,preprint_empirical,empirical_system_context,"Biological fact, standard, system precedent, uncertainty/transportability context, or benchmark design principle.",The source does not independently validate the provisional ACT/CLARIFY/DEFER/REFUSE label.
CA-043,SRC-BENCH-EXTRAPOLATION,benchmark_design,benchmark_extrapolation,"Biological fact, standard, system precedent, uncertainty/transportability context, or benchmark design principle.",The source does not independently validate the provisional ACT/CLARIFY/DEFER/REFUSE label.
CA-044,SRC-GRZELAK-2026-ESWA,peer_reviewed_review,reviewed_system_barrier,"Biological fact, standard, system precedent, uncertainty/transportability context, or benchmark design principle.",The source does not independently validate the provisional ACT/CLARIFY/DEFER/REFUSE label.
CA-045,SRC-BENCH-EXTRAPOLATION,benchmark_design,benchmark_extrapolation,"Biological fact, standard, system precedent, uncertainty/transportability context, or benchmark design principle.",The source does not independently validate the provisional ACT/CLARIFY/DEFER/REFUSE label.
CA-046,SRC-BENCH-EXTRAPOLATION,benchmark_design,benchmark_extrapolation,"Biological fact, standard, system precedent, uncertainty/transportability context, or benchmark design principle.",The source does not independently validate the provisional ACT/CLARIFY/DEFER/REFUSE label.
CA-047,SRC-BENCH-EXTRAPOLATION,benchmark_design,benchmark_extrapolation,"Biological fact, standard, system precedent, uncertainty/transportability context, or benchmark design principle.",The source does not independently validate the provisional ACT/CLARIFY/DEFER/REFUSE label.
CA-048,SRC-SAKR-2026-DT,peer_reviewed_governance,governance_principle,"Biological fact, standard, system precedent, uncertainty/transportability context, or benchmark design principle.",The source does not independently validate the provisional ACT/CLARIFY/DEFER/REFUSE label.
CA-049,SRC-GRZELAK-2026-ESWA,peer_reviewed_review,reviewed_system_barrier,"Biological fact, standard, system precedent, uncertainty/transportability context, or benchmark design principle.",The source does not independently validate the provisional ACT/CLARIFY/DEFER/REFUSE label.
CA-050,SRC-BENCH-EXTRAPOLATION,benchmark_design,benchmark_extrapolation,"Biological fact, standard, system precedent, uncertainty/transportability context, or benchmark design principle.",The source does not independently validate the provisional ACT/CLARIFY/DEFER/REFUSE label.
CA-051,SRC-ALS-2023-FBIOE,peer_reviewed_empirical,direct_biological_context,"Biological fact, standard, system precedent, uncertainty/transportability context, or benchmark design principle.",The source does not independently validate the provisional ACT/CLARIFY/DEFER/REFUSE label.
CA-052,SRC-SAKR-2026-DT,peer_reviewed_governance,mixed,"Biological fact, standard, system precedent, uncertainty/transportability context, or benchmark design principle.",The source does not independently validate the provisional ACT/CLARIFY/DEFER/REFUSE label.
CA-052,SRC-GRZELAK-2026-ESWA,peer_reviewed_review,mixed,"Biological fact, standard, system precedent, uncertainty/transportability context, or benchmark design principle.",The source does not independently validate the provisional ACT/CLARIFY/DEFER/REFUSE label.
CA-053,SRC-ISSCR-2023-STANDARDS,peer_reviewed_standard_perspective,research_standard,"Biological fact, standard, system precedent, uncertainty/transportability context, or benchmark design principle.",The source does not independently validate the provisional ACT/CLARIFY/DEFER/REFUSE label.
CA-054,SRC-ISSCR-2023-STANDARDS,peer_reviewed_standard_perspective,research_standard,"Biological fact, standard, system precedent, uncertainty/transportability context, or benchmark design principle.",The source does not independently validate the provisional ACT/CLARIFY/DEFER/REFUSE label.
CA-055,SRC-ISSCR-2023-STANDARDS,peer_reviewed_standard_perspective,research_standard,"Biological fact, standard, system precedent, uncertainty/transportability context, or benchmark design principle.",The source does not independently validate the provisional ACT/CLARIFY/DEFER/REFUSE label.
CA-056,SRC-ISSCR-2023-STANDARDS,peer_reviewed_standard_perspective,research_standard,"Biological fact, standard, system precedent, uncertainty/transportability context, or benchmark design principle.",The source does not independently validate the provisional ACT/CLARIFY/DEFER/REFUSE label.
CA-057,SRC-ISSCR-2023-STANDARDS,peer_reviewed_standard_perspective,research_standard,"Biological fact, standard, system precedent, uncertainty/transportability context, or benchmark design principle.",The source does not independently validate the provisional ACT/CLARIFY/DEFER/REFUSE label.
CA-058,SRC-ISSCR-2023-STANDARDS,peer_reviewed_standard_perspective,research_standard,"Biological fact, standard, system precedent, uncertainty/transportability context, or benchmark design principle.",The source does not independently validate the provisional ACT/CLARIFY/DEFER/REFUSE label.
CA-059,SRC-ISSCR-2023-STANDARDS,peer_reviewed_standard_perspective,research_standard,"Biological fact, standard, system precedent, uncertainty/transportability context, or benchmark design principle.",The source does not independently validate the provisional ACT/CLARIFY/DEFER/REFUSE label.
CA-060,SRC-ISSCR-2023-STANDARDS,peer_reviewed_standard_perspective,mixed,"Biological fact, standard, system precedent, uncertainty/transportability context, or benchmark design principle.",The source does not independently validate the provisional ACT/CLARIFY/DEFER/REFUSE label.
CA-060,SRC-BENCH-EXTRAPOLATION,benchmark_design,mixed,"Biological fact, standard, system precedent, uncertainty/transportability context, or benchmark design principle.",The source does not independently validate the provisional ACT/CLARIFY/DEFER/REFUSE label.
CF-001A,SRC-SCHROTER-2024-SD,peer_reviewed_data_descriptor,empirical_context_plus_extrapolation,"Biological fact, standard, system precedent, uncertainty/transportability context, or benchmark design principle.",The source does not independently validate the provisional ACT/CLARIFY/DEFER/REFUSE label.
CF-001A,SRC-BENCH-EXTRAPOLATION,benchmark_design,empirical_context_plus_extrapolation,"Biological fact, standard, system precedent, uncertainty/transportability context, or benchmark design principle.",The source does not independently validate the provisional ACT/CLARIFY/DEFER/REFUSE label.
CF-001B,SRC-SCHROTER-2024-SD,peer_reviewed_data_descriptor,empirical_context_plus_extrapolation,"Biological fact, standard, system precedent, uncertainty/transportability context, or benchmark design principle.",The source does not independently validate the provisional ACT/CLARIFY/DEFER/REFUSE label.
CF-001B,SRC-BENCH-EXTRAPOLATION,benchmark_design,empirical_context_plus_extrapolation,"Biological fact, standard, system precedent, uncertainty/transportability context, or benchmark design principle.",The source does not independently validate the provisional ACT/CLARIFY/DEFER/REFUSE label.
CF-002A,SRC-ISSCR-2023-STANDARDS,peer_reviewed_standard_perspective,standards_governance_plus_extrapolation,"Biological fact, standard, system precedent, uncertainty/transportability context, or benchmark design principle.",The source does not independently validate the provisional ACT/CLARIFY/DEFER/REFUSE label.
CF-002A,SRC-SAKR-2026-DT,peer_reviewed_governance,standards_governance_plus_extrapolation,"Biological fact, standard, system precedent, uncertainty/transportability context, or benchmark design principle.",The source does not independently validate the provisional ACT/CLARIFY/DEFER/REFUSE label.
CF-002B,SRC-ISSCR-2023-STANDARDS,peer_reviewed_standard_perspective,standards_governance_plus_extrapolation,"Biological fact, standard, system precedent, uncertainty/transportability context, or benchmark design principle.",The source does not independently validate the provisional ACT/CLARIFY/DEFER/REFUSE label.
CF-002B,SRC-SAKR-2026-DT,peer_reviewed_governance,standards_governance_plus_extrapolation,"Biological fact, standard, system precedent, uncertainty/transportability context, or benchmark design principle.",The source does not independently validate the provisional ACT/CLARIFY/DEFER/REFUSE label.
CF-003A,SRC-ISSCR-2023-STANDARDS,peer_reviewed_standard_perspective,standard_plus_extrapolation,"Biological fact, standard, system precedent, uncertainty/transportability context, or benchmark design principle.",The source does not independently validate the provisional ACT/CLARIFY/DEFER/REFUSE label.
CF-003B,SRC-ISSCR-2023-STANDARDS,peer_reviewed_standard_perspective,standard_plus_extrapolation,"Biological fact, standard, system precedent, uncertainty/transportability context, or benchmark design principle.",The source does not independently validate the provisional ACT/CLARIFY/DEFER/REFUSE label.
CF-004A,SRC-SCHROTER-2024-SD,peer_reviewed_data_descriptor,transportability_plus_extrapolation,"Biological fact, standard, system precedent, uncertainty/transportability context, or benchmark design principle.",The source does not independently validate the provisional ACT/CLARIFY/DEFER/REFUSE label.
CF-004A,SRC-SAKR-2026-DT,peer_reviewed_governance,transportability_plus_extrapolation,"Biological fact, standard, system precedent, uncertainty/transportability context, or benchmark design principle.",The source does not independently validate the provisional ACT/CLARIFY/DEFER/REFUSE label.
CF-004B,SRC-SCHROTER-2024-SD,peer_reviewed_data_descriptor,transportability_plus_extrapolation,"Biological fact, standard, system precedent, uncertainty/transportability context, or benchmark design principle.",The source does not independently validate the provisional ACT/CLARIFY/DEFER/REFUSE label.
CF-004B,SRC-SAKR-2026-DT,peer_reviewed_governance,transportability_plus_extrapolation,"Biological fact, standard, system precedent, uncertainty/transportability context, or benchmark design principle.",The source does not independently validate the provisional ACT/CLARIFY/DEFER/REFUSE label.
CF-005A,SRC-SCHROTER-2024-SD,peer_reviewed_data_descriptor,transportability_plus_extrapolation,"Biological fact, standard, system precedent, uncertainty/transportability context, or benchmark design principle.",The source does not independently validate the provisional ACT/CLARIFY/DEFER/REFUSE label.
CF-005A,SRC-SAKR-2026-DT,peer_reviewed_governance,transportability_plus_extrapolation,"Biological fact, standard, system precedent, uncertainty/transportability context, or benchmark design principle.",The source does not independently validate the provisional ACT/CLARIFY/DEFER/REFUSE label.
CF-005B,SRC-SCHROTER-2024-SD,peer_reviewed_data_descriptor,transportability_plus_extrapolation,"Biological fact, standard, system precedent, uncertainty/transportability context, or benchmark design principle.",The source does not independently validate the provisional ACT/CLARIFY/DEFER/REFUSE label.
CF-005B,SRC-SAKR-2026-DT,peer_reviewed_governance,transportability_plus_extrapolation,"Biological fact, standard, system precedent, uncertainty/transportability context, or benchmark design principle.",The source does not independently validate the provisional ACT/CLARIFY/DEFER/REFUSE label.
CF-006A,SRC-ALS-2022-SCCAA,peer_reviewed_empirical,direct_biological_context_plus_extrapolation,"Biological fact, standard, system precedent, uncertainty/transportability context, or benchmark design principle.",The source does not independently validate the provisional ACT/CLARIFY/DEFER/REFUSE label.
CF-006A,SRC-BENCH-EXTRAPOLATION,benchmark_design,direct_biological_context_plus_extrapolation,"Biological fact, standard, system precedent, uncertainty/transportability context, or benchmark design principle.",The source does not independently validate the provisional ACT/CLARIFY/DEFER/REFUSE label.
CF-006B,SRC-ALS-2022-SCCAA,peer_reviewed_empirical,direct_biological_context_plus_extrapolation,"Biological fact, standard, system precedent, uncertainty/transportability context, or benchmark design principle.",The source does not independently validate the provisional ACT/CLARIFY/DEFER/REFUSE label.
CF-006B,SRC-BENCH-EXTRAPOLATION,benchmark_design,direct_biological_context_plus_extrapolation,"Biological fact, standard, system precedent, uncertainty/transportability context, or benchmark design principle.",The source does not independently validate the provisional ACT/CLARIFY/DEFER/REFUSE label.
CF-007A,SRC-ALS-2026-JPI,peer_reviewed_empirical,quality_uncertainty_plus_extrapolation,"Biological fact, standard, system precedent, uncertainty/transportability context, or benchmark design principle.",The source does not independently validate the provisional ACT/CLARIFY/DEFER/REFUSE label.
CF-007A,SRC-ZHAO-2026-SCOPE,preprint_method,quality_uncertainty_plus_extrapolation,"Biological fact, standard, system precedent, uncertainty/transportability context, or benchmark design principle.",The source does not independently validate the provisional ACT/CLARIFY/DEFER/REFUSE label.
CF-007A,SRC-BENCH-EXTRAPOLATION,benchmark_design,quality_uncertainty_plus_extrapolation,"Biological fact, standard, system precedent, uncertainty/transportability context, or benchmark design principle.",The source does not independently validate the provisional ACT/CLARIFY/DEFER/REFUSE label.
CF-007B,SRC-ALS-2026-JPI,peer_reviewed_empirical,quality_uncertainty_plus_extrapolation,"Biological fact, standard, system precedent, uncertainty/transportability context, or benchmark design principle.",The source does not independently validate the provisional ACT/CLARIFY/DEFER/REFUSE label.
CF-007B,SRC-ZHAO-2026-SCOPE,preprint_method,quality_uncertainty_plus_extrapolation,"Biological fact, standard, system precedent, uncertainty/transportability context, or benchmark design principle.",The source does not independently validate the provisional ACT/CLARIFY/DEFER/REFUSE label.
CF-007B,SRC-BENCH-EXTRAPOLATION,benchmark_design,quality_uncertainty_plus_extrapolation,"Biological fact, standard, system precedent, uncertainty/transportability context, or benchmark design principle.",The source does not independently validate the provisional ACT/CLARIFY/DEFER/REFUSE label.
CF-008A,SRC-SAKR-2026-DT,peer_reviewed_governance,governance_plus_extrapolation,"Biological fact, standard, system precedent, uncertainty/transportability context, or benchmark design principle.",The source does not independently validate the provisional ACT/CLARIFY/DEFER/REFUSE label.
CF-008A,SRC-BENCH-EXTRAPOLATION,benchmark_design,governance_plus_extrapolation,"Biological fact, standard, system precedent, uncertainty/transportability context, or benchmark design principle.",The source does not independently validate the provisional ACT/CLARIFY/DEFER/REFUSE label.
CF-008B,SRC-SAKR-2026-DT,peer_reviewed_governance,governance_plus_extrapolation,"Biological fact, standard, system precedent, uncertainty/transportability context, or benchmark design principle.",The source does not independently validate the provisional ACT/CLARIFY/DEFER/REFUSE label.
CF-008B,SRC-BENCH-EXTRAPOLATION,benchmark_design,governance_plus_extrapolation,"Biological fact, standard, system precedent, uncertainty/transportability context, or benchmark design principle.",The source does not independently validate the provisional ACT/CLARIFY/DEFER/REFUSE label.
CF-009A,SRC-GRZELAK-2026-ESWA,peer_reviewed_review,system_barrier_plus_extrapolation,"Biological fact, standard, system precedent, uncertainty/transportability context, or benchmark design principle.",The source does not independently validate the provisional ACT/CLARIFY/DEFER/REFUSE label.
CF-009A,SRC-BENCH-EXTRAPOLATION,benchmark_design,system_barrier_plus_extrapolation,"Biological fact, standard, system precedent, uncertainty/transportability context, or benchmark design principle.",The source does not independently validate the provisional ACT/CLARIFY/DEFER/REFUSE label.
CF-009B,SRC-GRZELAK-2026-ESWA,peer_reviewed_review,system_barrier_plus_extrapolation,"Biological fact, standard, system precedent, uncertainty/transportability context, or benchmark design principle.",The source does not independently validate the provisional ACT/CLARIFY/DEFER/REFUSE label.
CF-009B,SRC-BENCH-EXTRAPOLATION,benchmark_design,system_barrier_plus_extrapolation,"Biological fact, standard, system precedent, uncertainty/transportability context, or benchmark design principle.",The source does not independently validate the provisional ACT/CLARIFY/DEFER/REFUSE label.
CF-010A,SRC-ALS-2023-FBIOE,peer_reviewed_empirical,biological_standard_plus_extrapolation,"Biological fact, standard, system precedent, uncertainty/transportability context, or benchmark design principle.",The source does not independently validate the provisional ACT/CLARIFY/DEFER/REFUSE label.
CF-010A,SRC-ISSCR-2023-STANDARDS,peer_reviewed_standard_perspective,biological_standard_plus_extrapolation,"Biological fact, standard, system precedent, uncertainty/transportability context, or benchmark design principle.",The source does not independently validate the provisional ACT/CLARIFY/DEFER/REFUSE label.
CF-010B,SRC-ALS-2023-FBIOE,peer_reviewed_empirical,biological_standard_plus_extrapolation,"Biological fact, standard, system precedent, uncertainty/transportability context, or benchmark design principle.",The source does not independently validate the provisional ACT/CLARIFY/DEFER/REFUSE label.
CF-010B,SRC-ISSCR-2023-STANDARDS,peer_reviewed_standard_perspective,biological_standard_plus_extrapolation,"Biological fact, standard, system precedent, uncertainty/transportability context, or benchmark design principle.",The source does not independently validate the provisional ACT/CLARIFY/DEFER/REFUSE label.
CF-011A,SRC-ISSCR-2023-STANDARDS,peer_reviewed_standard_perspective,standard_plus_extrapolation,"Biological fact, standard, system precedent, uncertainty/transportability context, or benchmark design principle.",The source does not independently validate the provisional ACT/CLARIFY/DEFER/REFUSE label.
CF-011B,SRC-ISSCR-2023-STANDARDS,peer_reviewed_standard_perspective,standard_plus_extrapolation,"Biological fact, standard, system precedent, uncertainty/transportability context, or benchmark design principle.",The source does not independently validate the provisional ACT/CLARIFY/DEFER/REFUSE label.
CF-012A,SRC-ISSCR-2023-STANDARDS,peer_reviewed_standard_perspective,standard_plus_extrapolation,"Biological fact, standard, system precedent, uncertainty/transportability context, or benchmark design principle.",The source does not independently validate the provisional ACT/CLARIFY/DEFER/REFUSE label.
CF-012A,SRC-BENCH-EXTRAPOLATION,benchmark_design,standard_plus_extrapolation,"Biological fact, standard, system precedent, uncertainty/transportability context, or benchmark design principle.",The source does not independently validate the provisional ACT/CLARIFY/DEFER/REFUSE label.
CF-012B,SRC-ISSCR-2023-STANDARDS,peer_reviewed_standard_perspective,standard_plus_extrapolation,"Biological fact, standard, system precedent, uncertainty/transportability context, or benchmark design principle.",The source does not independently validate the provisional ACT/CLARIFY/DEFER/REFUSE label.
CF-012B,SRC-BENCH-EXTRAPOLATION,benchmark_design,standard_plus_extrapolation,"Biological fact, standard, system precedent, uncertainty/transportability context, or benchmark design principle.",The source does not independently validate the provisional ACT/CLARIFY/DEFER/REFUSE label.
CF-013A,SRC-ISSCR-2023-STANDARDS,peer_reviewed_standard_perspective,standard_plus_extrapolation,"Biological fact, standard, system precedent, uncertainty/transportability context, or benchmark design principle.",The source does not independently validate the provisional ACT/CLARIFY/DEFER/REFUSE label.
